,R,DEE,Remb,r,g,b,x,y,z
0,10.1691,71.3015,0.5481,0.60773873,0.607747951,0.610635698,0.312051532,0.327910878,0.36003759
1,24.9168,43.1962,0.3979,0.614463356,0.662313489,0.545797355,0.326839292,0.373409692,0.299751016
2,91.4374,16.9056,0.6341,0.643678033,0.632022779,0.563975958,0.331315131,0.354631585,0.314053284
3,85.9463,45.5018,0.801,0.667088932,0.649640882,0.526636126,0.344984162,0.374363785,0.280652053
4,31.198,14.6264,0.3469,0.752188891,0.582688247,0.540596238,0.369490683,0.343778661,0.286730657
5,31.0529,52.6333,0.485,0.623592262,0.635284796,0.572632248,0.324104198,0.352884526,0.323011276
6,58.0325,15.5364,0.8326,0.501500418,0.646847373,0.620779715,0.285253335,0.339487533,0.375259132
7,64.9024,72.7746,0.6847,0.685019501,0.547525898,0.621532341,0.331434935,0.302085713,0.366479353
8,95.7778,70.2307,0.5861,0.660560128,0.58245347,0.605140487,0.327735848,0.32062705,0.351637101
9,66.2066,38.4254,0.8879,0.538189275,0.718103868,0.513670894,0.314078113,0.408908816,0.277013071
10,47.1825,26.2252,0.5989,0.621641139,0.686285934,0.508525005,0.335402372,0.395857361,0.268740267
11,17.0885,15.077,0.6182,0.6056585,0.602888337,0.616466597,0.310248137,0.323789974,0.365961889
12,27.9141,18.739,0.8721,0.546365851,0.580781168,0.664003196,0.284968597,0.29603897,0.418992433
13,33.9716,24.81,0.7556,0.541279084,0.582527278,0.664653146,0.283665058,0.296388359,0.419946584
14,24.6825,38.509,0.4075,0.590316577,0.627991943,0.599241233,0.310030078,0.340172429,0.349797493
15,57.204,12.7738,0.5475,0.626596448,0.647943061,0.556010123,0.328150795,0.363893683,0.307955522
16,49.5992,41.4365,0.4265,0.685862141,0.65764453,0.501563849,0.354925481,0.385527379,0.25954714
17,43.8624,64.6383,0.5038,0.671257533,0.654276372,0.517463675,0.347828962,0.379213383,0.272957655
18,93.8865,70.8304,0.3643,0.662621574,0.571405888,0.614113488,0.326404984,0.313208663,0.360386353
19,92.8123,6.4071,0.8158,0.63267605,0.593267558,0.611048647,0.318617693,0.322305534,0.359076773
20,97.8491,14.1178,0.7185,0.570996206,0.656763077,0.577504668,0.30975642,0.36000772,0.33023586
21,7.1626,31.6985,0.3863,0.598695416,0.609964056,0.613210642,0.309166583,0.327757999,0.363075418
22,71.9709,20.9513,0.626,0.659224468,0.521841869,0.656540789,0.315802787,0.279364659,0.404832554
23,40.0199,34.101,0.8189,0.676078949,0.626553138,0.548711702,0.343600673,0.357701249,0.298698078
24,14.7654,6.6601,0.3631,0.67335806,0.56023882,0.617652997,0.328787171,0.307929633,0.363283196
25,63.4916,78.2162,0.3465,0.587066345,0.542770589,0.676449126,0.291622991,0.277471574,0.430905435
26,50.1302,16.8345,0.6983,0.598341275,0.578890038,0.642101811,0.302628695,0.304618328,0.392752977
27,13.1042,50.5125,0.4149,0.616621478,0.618355653,0.595042118,0.317686774,0.337954364,0.344358862
28,55.1035,8.4488,0.9664,0.602791062,0.612976314,0.608072019,0.31132264,0.330909768,0.357767592
29,75.5991,51.1607,0.8146,0.69166594,0.681201299,0.461098052,0.36314181,0.407313671,0.229544519
30,60.2473,76.6257,0.893,0.65097011,0.633037065,0.558110315,0.334505151,0.357080015,0.308414835
31,63.583,54.4004,0.7662,0.657341488,0.606189206,0.583593029,0.3312907,0.337505478,0.331203822
32,68.843,14.2152,0.9283,0.585041426,0.612678127,0.617502915,0.304801257,0.327121406,0.368077337
33,33.5624,18.6624,0.9323,0.602256342,0.554303776,0.660584028,0.299304341,0.288248059,0.412447601
34,89.4321,59.271,0.7104,0.672724111,0.589754596,0.590590161,0.334349257,0.32877923,0.336871513
35,35.4124,21.4414,0.8849,0.599602755,0.543317706,0.670331568,0.296278584,0.280343382,0.423378034
36,30.5316,17.9977,0.8911,0.583248897,0.560418841,0.664554827,0.293567965,0.288628079,0.417803956
37,81.5411,71.8504,0.4828,0.575868238,0.633511217,0.600871915,0.306124207,0.341764892,0.352110901
38,41.1811,49.1739,0.3412,0.680361811,0.570899301,0.603794989,0.33386514,0.317016737,0.349118123
39,51.0994,59.8656,0.9143,0.667846615,0.540177465,0.637663073,0.322694859,0.293145535,0.384159606
40,91.9518,69.8877,0.7829,0.581862346,0.598269138,0.632764612,0.300628586,0.315546743,0.38382467
41,89.8835,19.5332,0.5067,0.661546977,0.602680242,0.584592257,0.332302038,0.335808932,0.33188903
42,56.3808,15.8016,0.959,0.551806843,0.644688655,0.600766322,0.300462854,0.346358561,0.353178585
43,96.0536,30.931,0.7531,0.56644494,0.60851854,0.630497177,0.297411717,0.320342882,0.382245401
44,68.8323,33.4333,0.5454,0.615563546,0.637686251,0.574660951,0.321561005,0.3531316,0.325307396
45,16.5413,63.7044,0.4191,0.61532259,0.619084501,0.595010285,0.317349818,0.338251093,0.344399089
46,57.9882,51.6706,0.9967,0.668727354,0.6081008,0.574318069,0.336468499,0.341593441,0.32193806
47,50.0704,37.9588,0.942,0.656996,0.625632232,0.562687348,0.335343641,0.352532582,0.312123777
48,43.9038,26.7235,0.4818,0.675445574,0.625286552,0.550636076,0.343049491,0.356546659,0.300403849
49,98.1906,43.8695,0.4763,0.654498578,0.65369911,0.530357911,0.340671368,0.374859042,0.28446959
50,49.3863,74.9543,0.7855,0.619152259,0.646509957,0.562302451,0.324942214,0.36112051,0.313937276
51,6.2013,38.1076,0.9851,0.60954786,0.609250526,0.608182033,0.31304997,0.329434482,0.357515548
52,8.9903,47.7228,0.8356,0.613559543,0.607404146,0.607847401,0.314173082,0.328857594,0.356969324
53,50.5739,58.4966,0.6822,0.694254519,0.619372432,0.544104158,0.349977917,0.356420615,0.293601468
54,88.4257,63.6637,0.4241,0.690580021,0.551247718,0.614942809,0.3345731,0.305930806,0.359496094
55,14.1389,27.6325,0.4153,0.623541011,0.629148741,0.579513117,0.32271484,0.347943354,0.329341807
56,39.2509,31.6575,0.7993,0.67484517,0.635927118,0.538337023,0.345158947,0.364926245,0.289914808
57,49.1465,22.1325,0.6617,0.639943039,0.629295397,0.569422958,0.329207096,0.351619911,0.319172993
58,22.4939,58.9461,0.4298,0.605977338,0.620653706,0.598534366,0.314168074,0.337538971,0.348292955
59,62.881,10.2094,0.7869,0.586069123,0.636625313,0.59224504,0.310431147,0.346269575,0.343299278
60,73.0974,29.9623,0.5705,0.692429892,0.486787867,0.662831057,0.324206392,0.2661141,0.409679509
61,81.4796,9.9221,0.5142,0.648290192,0.599784393,0.59565176,0.32622682,0.330613987,0.343159193
62,94.5557,55.0952,0.5134,0.675998343,0.607817992,0.569826273,0.339511932,0.343087426,0.317400642
